id	name	gene_name	uniprot_id	conditions	indication_types	concentration	age	sex	biofluid	protein_sequence	citation
7	Alpha-fetoprotein	AFP	P02771	Hepatocellular Carcinoma	Diagnostic	>21 ng/mL	Adult: >=18 yrs old	Both	Serum	Song, P., Feng, X., Inagaki, Y., Song, T., Zhang, K., Wang, Z., Zheng, S., Ma, K., Li, Q., Kong, D., Wu, Q., Zhang, T., Zhao, X., Hasegawa, K., Sugawara, Y., Kokudo, N. & Tang, W. Clinical utility of simultaneous measurement of alpha-fetoprotein and des-gamma-carboxy prothrombin for diagnosis of patients with hepatocellular carcinoma in China: A multi-center case-controlled study of 1,153 subjects. Biosci Trends 8, 266-273 (2014).
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	<10 ng/mL	Adult: >=18 yrs old	Both	Serum	University of Rochester Medical Center: Alpha-Fetoprotein Tumor marker
7	Alpha-fetoprotein	AFP	P02771	Renal Cell Carcinoma	Diagnostic	>500 ng/mL	Adult: >=18 yrs old	Both	Blood	University of Rochester Medical Center: Alpha-fetaprotein tumor marker
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	<10 ng/mL	Adult: >=18 yrs old	Both	Blood	University of Rochester Medical Center: Alpha-fetaprotein tumor marker
7	Alpha-fetoprotein	AFP	P02771	Hodgkin's disease	Diagnostic	>500 ng/mL	Adult: >=18 yrs old	Both	Blood	University of Rochester Medical Center: Alpha-fetaprotein tumor marker
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	<10 ng/mL	Adult: >=18 yrs old	Both	Blood	University of Rochester Medical Center: Alpha-fetaprotein tumor marker
7	Alpha-fetoprotein	AFP	P02771	Lymphoma	Diagnostic	>500 ng/mL	Adult: >=18 yrs old	Both	Blood	University of Rochester Medical Center: Alpha-fetaprotein tumor marker
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	<10 ng/mL	Adult: >=18 yrs old	Both	Blood	University of Rochester Medical Center: Alpha-fetaprotein tumor marker
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	0 (0->2000) uM	Infant: 0-<1 month old	Both	Blood	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	684.4 (9.8-1359) uM	Infant: 1-<6 months old	Both	Blood	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	51.75 (0.4-103.1) uM	Infant: 6 months - 1 yr old	Both	Blood	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	17.8 (0.8-34.8) uM	Children/Adolescent: 1-<19 yrs old	Both	Blood	Adeli K, Higgins V, Trajcevski K, White-Al Habeeb N. The Canadian laboratory initiative on pediatric reference intervals: a CALIPER white paper. Crit Rev Cliin Lab Sci. 2017 Sep;54(6):358-413. doi: 10.1080/10408363.2017.1379945. Epub 2017 Oct 11. Erratum in: crit Rev Clin Lab Sci. 2020 Mar;57(2):145. doi: 10.1080/10408363.2019.1704475. PMID: 29017389.
7	Alpha-fetoprotein	AFP	P02771	Normal	Diagnostic	2 multiples of median (MoM)	All	Both	Amniotic Fluid	Mayo Clinic Test Catalog
8	Pappalysin-1	PAPPA	Q13219	Preterm Birth	Diagnostic	<0.76 MoM	Adult: >=18 yrs old	Female	Serum	Cohen, J. L., Smilen, K. E., Bianco, A. T., Moshier, E. L., Ferrara, L. A. & Stone, J. L. Predictive value of combined serum biomarkers for adverse pregnancy outcomes. Eur J Obstet Gynecol Reprod Biol 181, 89-94 (2014).
