id	name	hmdb_id	conditions	indication_types	concentration	age	sex	biofluid	citation
84	Guanosine	HMDB0000133	Purine Nucleoside Phosphorylase Deficiency	Diagnostic	1311.5 (35.0-2588.0) umol/mmol creatinine	Adult	Both	Urine	Wevers, R. A., Engelke, U. F., Moolenaar, S. H., Brautigam, C., de Jong, J. G., Duran, R., de Abreu, R. A. & van Gennip, A. H. 1H-NMR spectroscopy of body fluids: inborn errors of purine and pyrimidine metabolism. Clin Chem 45, 539-548 (1999).
84	Guanosine	HMDB0000133	Normal	Diagnostic	0.050 (0.030-0.070) umol/mmol creatinine	Adult	Both	Urine	Liebich, H. M., Di Stefano, C., Wixforth, A. & Schmid, H. R. Quantitation of urinary nucleosides by high-performance liquid chromatography. J Chromatogr A 763, 193-197 (1997).
84	Guanosine	HMDB0000133	Eosinophilic Esophagitis	Diagnostic	13.6 (5.8-21.4) umol/mmol creatinine	Children	Unknown	Urine	Mordechai, Hien, and David S. Wishart
84	Guanosine	HMDB0000133	Normal	Diagnostic	0.100 (0-0.100) umol/mmol creatinine	Infant	Both	Urine	BC Children's Hospital Biochemical Genetics Lab
84	Guanosine	HMDB0000133	Normal	Diagnostic	0.8 +/- 0.5 (N/A-N/A) uM	Adult (>18 years old)	Both	Blood	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
85	Fumaric acid	HMDB0000134	Lung Cancer	Diagnostic	0.70 (0-4.0) umol/mmol creatinine	Adult	Both	Urine	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
85	Fumaric acid	HMDB0000134	Normal	Diagnostic	5.3 (1.9-8.6) umol/mmol creatinine	Adult	Both	Urine	Pubmed_ID: 6616883
85	Fumaric acid	HMDB0000134	Fumarase Deficiency	Diagnostic	403.3 (313.4-493.2) umol/mmol creatinine	Infant	Male	Urine	Pubmed_ID: 24182348
85	Fumaric acid	HMDB0000134	Normal	Diagnostic	25.0 (0-25.0) umol/mmol creatinine	Infant	Male	Urine	Pubmed_ID: 12376931
85	Fumaric acid	HMDB0000134	Alzheimer's Disease	Diagnostic	11.0 (2.0-20.0) uM	Elderly	Both	Cerebrospinal Fluid (CSF)	Redjems-Bennani, N., Jeandel, C., Lefebvre, E., Blain, H., Vidailhet, M. & Gueant, J. L. Abnormal substrate levels that depend upon mitochondrial function in cerebrospinal fluid from Alzheimer patients. Gerontology 44, 300-304 (1998).
85	Fumaric acid	HMDB0000134	Normal	Diagnostic	33.0 (9.0-57.0) uM	Adult	Both	Cerebrospinal Fluid (CSF)	Redjems-Bennani, N., Jeandel, C., Lefebvre, E., Blain, H., Vidailhet, M. & Gueant, J. L. Abnormal substrate levels that depend upon mitochondrial function in cerebrospinal fluid from Alzheimer patients. Gerontology 44, 300-304 (1998).
85	Fumaric acid	HMDB0000134	Normal	Diagnostic	33.0 (9.00-57.0) uM	Adult (>18 years old)	Both	Cerebrospinal Fluid (CSF)	Wishart, D. S., Knox, C., Guo, A. C., Eisner, R., Young, N., Gautam, B., Hau, D. D., Psychogios, N., Dong, E., Bouatra, S., Mandal, R., Sinelnikov, I., Xia, J., Jia, L., Cruz, J. A., Lim, E., Sobsey, C. A., Shrivastava, S., Huang, P., Liu, P., Fang, L., Peng, J., Fradette, R., Cheng, D., Tzur, D., Clements, M., Lewis, A., De Souza, A., Zuniga, A., Dawe, M., Xiong, Y., Clive, D., Greiner, R., Nazyrova, A., Shaykhutdinov, R., Li, L., Vogel, H. J. & Forsythe, I. HMDB: a knowledgebase for the human metabolome. Nucleic Acids Res 37, D603-D610 (2009).
86	Glycocholic acid	HMDB0000138	Glycogen Storage Disease	Diagnostic	8.6 (0.70-16.5) uM	Children: 2-17 yrs old	Unknown	Blood	Matsui, A., Psacharopoulos, H. T., Mowat, A. P., Portmann, B. & Murphy, G. M. Radioimmunoassay of serum glycocholic acid, standard laboratory tests of liver function and liver biopsy findings: comparative study of children with liver disease. J Clin Pathol 35, 1011-1017 (1982).
86	Glycocholic acid	HMDB0000138	Normal	Diagnostic	0.88 (0.62-1.1) uM	Children: 2-17 yrs old	Unknown	Blood	Matsui, A., Psacharopoulos, H. T., Mowat, A. P., Portmann, B. & Murphy, G. M. Radioimmunoassay of serum glycocholic acid, standard laboratory tests of liver function and liver biopsy findings: comparative study of children with liver disease. J Clin Pathol 35, 1011-1017 (1982).
